dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.890165,4.110000,0.000198,0.019841,0.992063,49.603175,0.000123
0.020000,0.890959,4.110000,0.000992,0.059524,1.984127,49.603175,0.000712
0.020000,0.892744,4.110003,0.002778,0.119048,2.976190,49.603175,0.002041
0.020000,0.895720,4.110012,0.005754,0.178571,2.976190,-0.000000,0.004258
0.020000,0.899887,4.110036,0.009921,0.238095,2.976190,0.000000,0.007368
0.020000,0.905244,4.110087,0.015278,0.297619,2.976190,0.000000,0.011377
0.020000,0.911791,4.110177,0.021825,0.357143,2.976190,-0.000000,0.016294
0.020000,0.919528,4.110326,0.029563,0.416667,2.976190,0.000000,0.022127
0.020000,0.928453,4.110553,0.038492,0.476190,2.976190,0.000000,0.028888
0.020000,0.938567,4.110885,0.048611,0.535714,2.976190,0.000000,0.036587
0.020000,0.949867,4.111347,0.059921,0.595238,2.976190,-0.000000,0.045237
0.020000,0.962351,4.111972,0.072421,0.654762,2.976190,0.000000,0.054850
0.020000,0.976017,4.112795,0.086111,0.714286,2.976190,-0.000000,0.065437
0.020000,0.990860,4.113854,0.100992,0.773810,2.976190,0.000000,0.077012
0.020000,1.006876,4.115191,0.117063,0.833333,2.976190,-0.000000,0.089582
0.020000,1.024057,4.116852,0.134325,0.892857,2.976190,0.000000,0.103156
0.020000,1.042397,4.118886,0.152778,0.952381,2.976190,-0.000000,0.117739
0.020000,1.061885,4.121345,0.172421,1.011905,2.976190,0.000000,0.133331
0.020000,1.082510,4.124286,0.193254,1.071429,2.976190,0.000000,0.149926
0.020000,1.104256,4.127767,0.215278,1.130952,2.976190,-0.000000,0.167515
0.020000,1.127108,4.131849,0.238492,1.190476,2.976190,0.000000,0.186079
0.020000,1.151046,4.136598,0.262897,1.250000,2.976190,0.000000,0.205591
0.020000,1.176047,4.142079,0.288492,1.309524,2.976190,0.000000,0.226015
0.020000,1.202086,4.148359,0.315278,1.369048,2.976190,-0.000000,0.247302
0.020000,1.229133,4.155507,0.343254,1.428571,2.976190,0.000000,0.269394
0.020000,1.257157,4.163590,0.372421,1.488095,2.976190,0.000000,0.292219
0.020000,1.286121,4.172676,0.402778,1.547619,2.976190,-0.000000,0.315692
0.020000,1.315989,4.182831,0.434325,1.607143,2.976190,0.000000,0.339716
0.020000,1.346719,4.194118,0.467063,1.666667,2.976190,-0.000000,0.364182
0.020000,1.378269,4.206596,0.500992,1.726190,2.976190,0.000000,0.388971
0.020000,1.410594,4.220321,0.536111,1.785714,2.976190,-0.000000,0.413951
0.020000,1.443649,4.235343,0.572421,1.845238,2.976190,0.000000,0.438985
0.020000,1.477390,4.251706,0.609921,1.904762,2.976190,-0.000000,0.463931
