dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000597,0.000000,0.000617,0.024690,0.493803,9.876066,0.000598
0.050000,0.002449,0.000003,0.002469,0.049380,0.493803,0.000000,0.002456
0.050000,0.005535,0.000015,0.005555,0.074070,0.493803,0.000000,0.005570
0.050000,0.009856,0.000049,0.009876,0.098761,0.493803,-0.000000,0.009966
0.050000,0.015411,0.000120,0.015431,0.123451,0.493803,0.000000,0.015681
0.050000,0.022199,0.000251,0.022221,0.148141,0.493803,0.000000,0.022764
0.050000,0.030221,0.000467,0.030245,0.172831,0.493803,-0.000000,0.031273
0.050000,0.039473,0.000803,0.039504,0.197521,0.493803,-0.000000,0.041283
0.050000,0.049955,0.001297,0.049998,0.222211,0.493803,0.000000,0.052878
0.050000,0.061662,0.001994,0.061725,0.246902,0.493803,0.000000,0.066156
0.050000,0.074589,0.002948,0.074688,0.271592,0.493803,0.000000,0.081232
0.050000,0.088729,0.004219,0.088885,0.296282,0.493803,-0.000000,0.098232
0.050000,0.104070,0.005878,0.104316,0.320972,0.493803,0.000000,0.117296
0.050000,0.120600,0.008004,0.120982,0.345662,0.493803,0.000000,0.138579
0.050000,0.138298,0.010685,0.138882,0.370352,0.493803,-0.000000,0.162244
0.050000,0.157139,0.014021,0.158017,0.395043,0.493803,0.000000,0.188460
0.050000,0.177090,0.018124,0.178386,0.419733,0.493803,0.000000,0.217397
0.050000,0.198108,0.023117,0.199990,0.444423,0.493803,0.000000,0.249214
0.050000,0.220139,0.029132,0.222829,0.469113,0.493803,0.000000,0.284046
0.050000,0.243115,0.036313,0.246902,0.493803,0.493803,0.000000,0.321986
0.050000,0.266951,0.044810,0.272209,0.518493,0.493803,0.000000,0.363064
0.050000,0.291547,0.054778,0.298751,0.543184,0.493803,0.000000,0.407218
0.050000,0.316785,0.066374,0.326527,0.567874,0.493803,-0.000000,0.454266
0.050000,0.342528,0.079745,0.355538,0.592564,0.493803,0.000000,0.503887
0.050000,0.368624,0.095027,0.385784,0.617254,0.493803,-0.000000,0.555604
0.050000,0.394914,0.112337,0.417264,0.641944,0.493803,0.000000,0.608781
0.050000,0.421231,0.131763,0.449978,0.666634,0.493803,-0.000000,0.662654
