dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000576,0.000000,0.000615,0.024606,0.492115,9.842292,0.000443
0.050000,0.002422,0.000002,0.002461,0.049211,0.492115,0.000000,0.001865
0.050000,0.005497,0.000012,0.005536,0.073817,0.492115,-0.000000,0.004246
0.050000,0.009803,0.000037,0.009842,0.098423,0.492115,0.000000,0.007601
0.050000,0.015339,0.000091,0.015379,0.123029,0.492115,0.000000,0.011950
0.050000,0.022105,0.000190,0.022145,0.147634,0.492115,-0.000000,0.017324
0.050000,0.030100,0.000354,0.030142,0.172240,0.492115,0.000000,0.023756
0.050000,0.039324,0.000608,0.039369,0.196846,0.492115,-0.000000,0.031288
0.050000,0.049775,0.000981,0.049827,0.221452,0.492115,0.000000,0.039971
0.050000,0.061451,0.001505,0.061514,0.246057,0.492115,0.000000,0.049862
0.050000,0.074349,0.002221,0.074432,0.270663,0.492115,0.000000,0.061025
0.050000,0.088465,0.003172,0.088581,0.295269,0.492115,-0.000000,0.073536
0.050000,0.103794,0.004408,0.103959,0.319875,0.492115,0.000000,0.087476
0.050000,0.120327,0.005986,0.120568,0.344480,0.492115,0.000000,0.102938
0.050000,0.138055,0.007970,0.138407,0.369086,0.492115,-0.000000,0.120021
0.050000,0.156965,0.010430,0.157477,0.393692,0.492115,0.000000,0.138834
0.050000,0.177039,0.013446,0.177776,0.418297,0.492115,0.000000,0.159492
0.050000,0.198256,0.017104,0.199306,0.442903,0.492115,-0.000000,0.182116
0.050000,0.220587,0.021501,0.222067,0.467509,0.492115,0.000000,0.206828
0.050000,0.243997,0.026741,0.246057,0.492115,0.492115,0.000000,0.233749
0.050000,0.268444,0.032939,0.271278,0.516720,0.492115,-0.000000,0.262993
0.050000,0.293873,0.040217,0.297729,0.541326,0.492115,0.000000,0.294657
0.050000,0.320220,0.048704,0.325411,0.565932,0.492115,-0.000000,0.328813
0.050000,0.347406,0.058538,0.354323,0.590538,0.492115,-0.000000,0.365497
0.050000,0.375340,0.069858,0.384465,0.615143,0.492115,0.000000,0.404690
0.050000,0.403913,0.082805,0.415837,0.639749,0.492115,0.000000,0.446309
0.050000,0.433005,0.097517,0.448439,0.664355,0.492115,0.000000,0.490190
0.050000,0.462478,0.114124,0.482272,0.688960,0.492115,0.000000,0.536078
0.050000,0.492185,0.132743,0.517335,0.713566,0.492115,-0.000000,0.583624
0.050000,0.521970,0.153475,0.553629,0.738172,0.492115,0.000000,0.632386
0.050000,0.551674,0.176396,0.591153,0.762778,0.492115,0.000000,0.681847
0.050000,0.581142,0.201560,0.629907,0.787383,0.492115,0.000000,0.731434
0.050000,0.610226,0.228993,0.669891,0.811989,0.492115,0.000000,0.780555
0.050000,0.638795,0.258694,0.711106,0.836595,0.492115,0.000000,0.828628
0.050000,0.666737,0.290639,0.753551,0.861201,0.492115,-0.000000,0.875116
0.050000,0.693965,0.324783,0.797226,0.885806,0.492115,0.000000,0.919551
0.050000,0.720416,0.361067,0.842131,0.910412,0.492115,0.000000,0.961547
0.050000,0.746056,0.399419,0.888267,0.935018,0.492115,0.000000,1.000810
0.050000,0.770872,0.439760,0.935633,0.959624,0.492115,0.000000,1.037127
0.050000,0.794880,0.482010,0.984229,0.984229,0.492115,0.000000,1.070361
0.050000,0.818111,0.526087,1.034056,1.008835,0.492115,-0.000000,1.100434
0.050000,0.840622,0.571912,1.085113,1.033441,0.492115,0.000000,1.127311
0.050000,0.862482,0.619409,1.137400,1.058046,0.492115,0.000000,1.150984
0.050000,0.883778,0.668506,1.190917,1.082652,0.492115,0.000000,1.171460
0.050000,0.904612,0.719134,1.245665,1.107258,0.492115,-0.000000,1.188745
0.050000,0.925100,0.771227,1.301643,1.131864,0.492115,0.000000,1.202832
0.050000,0.945373,0.824723,1.358851,1.156469,0.492115,-0.000000,1.213696
0.050000,0.965577,0.879557,1.417290,1.181075,0.492115,0.000000,1.221279
0.050000,0.985876,0.935667,1.476959,1.205681,0.492115,-0.000000,1.225483
0.050000,1.006116,0.992046,1.536860,1.190379,-0.306032,-15.962935,1.226178
0.050000,1.026077,1.047464,1.595764,1.165773,-0.492115,-3.721650,1.223428
0.050000,1.045859,1.101639,1.653438,1.141168,-0.492115,-0.000000,1.217395
0.050000,1.065622,1.154509,1.709881,1.116562,-0.492115,0.000000,1.208197
0.050000,1.085508,1.206016,1.765094,1.091956,-0.492115,0.000000,1.195913
0.050000,1.105645,1.256102,1.819077,1.067351,-0.492115,-0.000000,1.180592
0.050000,1.126143,1.304708,1.871829,1.042745,-0.492115,0.000000,1.162258
0.050000,1.147100,1.351774,1.923351,1.018139,-0.492115,-0.000000,1.140921
0.050000,1.168600,1.397237,1.973643,0.993533,-0.492115,0.000000,1.116589
0.050000,1.190712,1.441032,2.022705,0.968928,-0.492115,0.000000,1.089274
0.050000,1.213489,1.483090,2.070536,0.944322,-0.492115,0.000000,1.059008
0.050000,1.236968,1.523341,2.117137,0.919716,-0.492115,-0.000000,1.025852
0.050000,1.261167,1.561717,2.162507,0.895110,-0.492115,0.000000,0.989913
0.050000,1.286084,1.598148,2.206648,0.870505,-0.492115,0.000000,0.951353
0.050000,1.311695,1.632573,2.249558,0.845899,-0.492115,0.000000,0.910402
0.050000,1.337955,1.664937,2.291238,0.821293,-0.492115,0.000000,0.867363
0.050000,1.364793,1.695195,2.331687,0.796688,-0.492115,0.000000,0.822613
0.050000,1.392120,1.723322,2.370906,0.772082,-0.492115,-0.000000,0.776594
0.050000,1.419827,1.749308,2.408895,0.747476,-0.492115,0.000000,0.729799
0.050000,1.447786,1.773166,2.445654,0.722870,-0.492115,0.000000,0.682751
0.050000,1.475863,1.794931,2.481182,0.698265,-0.492115,0.000000,0.635970
0.050000,1.503913,1.814662,2.515480,0.673659,-0.492115,0.000000,0.589954
0.050000,1.531794,1.832438,2.548548,0.649053,-0.492115,0.000000,0.545151
0.050000,1.559365,1.848354,2.580386,0.624447,-0.492115,0.000000,0.501937
0.050000,1.586494,1.862520,2.610993,0.599842,-0.492115,-0.000000,0.460615
0.050000,1.613059,1.875058,2.640370,0.575236,-0.492115,0.000000,0.421405
0.050000,1.638951,1.886092,2.668517,0.550630,-0.492115,0.000000,0.384452
0.050000,1.664073,1.895752,2.695433,0.526024,-0.492115,0.000000,0.349831
0.050000,1.688341,1.904163,2.721119,0.501419,-0.492115,-0.000000,0.317564
0.050000,1.711686,1.911449,2.745575,0.476813,-0.492115,0.000000,0.287626
0.050000,1.734046,1.917727,2.768800,0.452207,-0.492115,0.000000,0.259961
0.050000,1.755372,1.923108,2.790796,0.427602,-0.492115,-0.000000,0.234489
0.050000,1.775623,1.927695,2.811561,0.402996,-0.492115,0.000000,0.211115
0.050000,1.794767,1.931584,2.831095,0.378390,-0.492115,0.000000,0.189737
0.050000,1.812775,1.934860,2.849400,0.353784,-0.492115,0.000000,0.170250
0.050000,1.829627,1.937603,2.866474,0.329179,-0.492115,-0.000000,0.152552
0.050000,1.845306,1.939884,2.882317,0.304573,-0.492115,0.000000,0.136542
0.050000,1.859797,1.941769,2.896931,0.279967,-0.492115,0.000000,0.122126
0.050000,1.873091,1.943313,2.910314,0.255361,-0.492115,-0.000000,0.109219
0.050000,1.885179,1.944568,2.922467,0.230756,-0.492115,0.000000,0.097739
0.050000,1.896055,1.945579,2.933390,0.206150,-0.492115,-0.000000,0.087616
0.050000,1.905713,1.946384,2.943082,0.181544,-0.492115,0.000000,0.078786
0.050000,1.914152,1.947018,2.951544,0.156939,-0.492115,-0.000000,0.071193
0.050000,1.921367,1.947509,2.958776,0.132333,-0.492115,-0.000000,0.064790
0.050000,1.927357,1.947882,2.964777,0.107727,-0.492115,0.000000,0.059535
0.050000,1.932120,1.948156,2.969549,0.083121,-0.492115,0.000000,0.055395
0.050000,1.935656,1.948347,2.973090,0.058516,-0.492115,0.000000,0.052344
0.050000,1.937963,1.948465,2.975400,0.033910,-0.492115,0.000000,0.050363
0.050000,1.939042,1.948519,2.976480,0.009304,-0.492115,-0.000000,0.049440
0.050000,1.939275,1.948531,2.976713,0.000000,-0.186083,6.120642,0.049241
0.050000,1.939275,1.948531,2.976713,0.000000,0.000000,3.721650,0.049241
0.050000,1.939275,1.948531,2.976713,0.000000,0.000000,0.000000,0.049241
