dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000622,0.024898,0.497959,9.959184,6.283185
0.050000,0.001589,0.000000,0.002490,0.049796,0.497959,0.000000,0.000002
0.050000,0.004701,0.000000,0.005602,0.074694,0.497959,-0.000000,0.000007
0.050000,0.009058,0.000000,0.009959,0.099592,0.497959,0.000000,0.000013
0.050000,0.014660,0.000000,0.015561,0.124490,0.497959,0.000000,0.000022
0.050000,0.021507,0.000000,0.022408,0.149388,0.497959,-0.000000,0.000032
0.050000,0.029599,0.000001,0.030500,0.174286,0.497959,0.000000,0.000044
0.050000,0.038936,0.000001,0.039837,0.199184,0.497959,-0.000000,0.000058
0.050000,0.049517,0.000002,0.050418,0.224082,0.497959,0.000000,0.000073
0.050000,0.061344,0.000003,0.062245,0.248980,0.497959,0.000000,0.000091
0.050000,0.074415,0.000004,0.075316,0.273878,0.497959,-0.000000,0.000110
0.050000,0.088732,0.000006,0.089633,0.298776,0.497959,0.000000,0.000132
0.050000,0.104293,0.000008,0.105194,0.323673,0.497959,0.000000,0.000155
0.050000,0.121099,0.000011,0.122000,0.348571,0.497959,0.000000,0.000180
0.050000,0.139150,0.000014,0.140051,0.373469,0.497959,0.000000,0.000207
0.050000,0.158446,0.000019,0.159347,0.398367,0.497959,-0.000000,0.000236
0.050000,0.178987,0.000024,0.179888,0.423265,0.497959,0.000000,0.000267
0.050000,0.200772,0.000030,0.201673,0.448163,0.497959,-0.000000,0.000300
0.050000,0.223803,0.000037,0.224704,0.473061,0.497959,0.000000,0.000335
0.050000,0.248079,0.000046,0.248980,0.497959,0.497959,0.000000,0.000372
0.050000,0.273599,0.000056,0.274500,0.522857,0.497959,-0.000000,0.000411
0.050000,0.300364,0.000067,0.301265,0.547755,0.497959,0.000000,0.000452
0.050000,0.328374,0.000081,0.329276,0.572653,0.497959,0.000000,0.000495
0.050000,0.357630,0.000096,0.358531,0.597551,0.497959,-0.000000,0.000540
0.050000,0.388130,0.000113,0.389031,0.622449,0.497959,0.000000,0.000587
0.050000,0.419874,0.000132,0.420776,0.647347,0.497959,-0.000000,0.000636
0.050000,0.452864,0.000154,0.453765,0.672245,0.497959,0.000000,0.000687
0.050000,0.487099,0.000179,0.488000,0.697143,0.497959,-0.000000,0.000741
0.050000,0.522579,0.000206,0.523480,0.722041,0.497959,0.000000,0.000796
0.050000,0.559303,0.000236,0.560204,0.746939,0.497959,0.000000,0.000854
0.050000,0.597272,0.000270,0.598173,0.771837,0.497959,-0.000000,0.000914
0.050000,0.636487,0.000307,0.637388,0.796735,0.497959,0.000000,0.000977
0.050000,0.676946,0.000348,0.677847,0.821633,0.497959,0.000000,0.001041
